Player,Tm,Age,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/G,Rate,Sk,Sack Yds,NY/A,ANY/A,Sk%
Brett Favre,GNB,37,QB,16,16,343,613,56.0,3885,18,2.9,18,2.9,183,82,6.3,5.6,242.8,72.7,21,134,5.92,5.21,3.3
Jon Kitna,DET,34,QB,16,16,372,596,62.4,4208,21,3.5,22,3.7,209,60,7.1,6.1,263.0,79.9,63,388,5.80,4.93,9.6
Marc Bulger*,STL,29,QB,16,16,370,588,62.9,4301,24,4.1,8,1.4,210,67,7.3,7.5,268.8,92.9,49,366,6.18,6.37,7.7
Peyton Manning *,IND,30,QB,16,16,362,557,65.0,4397,31,5.6,9,1.6,242,68,7.9,8.3,274.8,101.0,14,86,7.55,7.93,2.5
Drew Brees*+,NOR,27,QB,16,16,356,554,64.3,4418,26,4.7,11,2.0,202,86,8.0,8.0,276.1,96.2,18,105,7.54,7.58,3.1
Eli Manning,NYG,25,QB,16,16,301,522,57.7,3244,24,4.6,18,3.4,162,55,6.2,5.6,202.8,77.0,25,186,5.59,4.99,4.6
Carson Palmer*,CIN,27,QB,16,16,324,520,62.3,4035,28,5.4,13,2.5,200,74,7.8,7.7,252.2,93.9,36,233,6.84,6.79,6.5
Tom Brady,NWE,29,QB,16,16,319,516,61.8,3529,24,4.7,12,2.3,176,62,6.8,6.7,220.6,87.9,26,175,6.19,6.08,4.8
Chad Pennington,NYJ,30,QB,16,16,313,485,64.5,3352,17,3.5,16,3.3,163,71,6.9,6.1,209.5,82.6,30,172,6.17,5.44,5.8
Rex Grossman,CHI,26,QB,16,16,262,480,54.6,3193,23,4.8,20,4.2,151,62,6.7,5.7,199.6,73.9,21,142,6.09,5.21,4.2
Ben Roethlisberger,PIT,24,QB,15,15,280,469,59.7,3513,18,3.8,23,4.9,178,67,7.5,6.1,234.2,75.4,46,280,6.28,4.97,8.9
Steve McNair,BAL,33,QB,16,16,295,468,63.0,3050,16,3.4,12,2.6,159,87,6.5,6.0,190.6,82.5,14,84,6.15,5.70,2.9
Philip Rivers*,SDG,25,QB,16,16,284,460,61.7,3388,22,4.8,9,2.0,167,57,7.4,7.4,211.8,92.0,27,144,6.66,6.73,5.5
David Carr,HOU,27,QB,16,16,302,442,68.3,2767,11,2.5,12,2.7,142,53,6.3,5.5,172.9,82.1,41,240,5.23,4.57,8.5
Alex Smith,SFO,22,QB,16,16,257,442,58.1,2890,16,3.6,16,3.6,132,75,6.5,5.6,180.6,74.8,35,202,5.64,4.80,7.3
Brad Johnson,MIN,38,QB,15,14,270,439,61.5,2750,9,2.1,15,3.4,135,46,6.3,5.1,183.3,72.0,29,200,5.45,4.39,6.2
Jake Delhomme,CAR,31,QB,13,13,263,431,61.0,2805,17,3.9,11,2.6,129,72,6.5,6.1,215.8,82.6,22,167,5.82,5.48,4.9
J.P. Losman,BUF,25,QB,16,16,268,429,62.5,3051,19,4.4,14,3.3,134,83,7.1,6.5,190.7,84.9,47,332,5.71,5.19,9.9
Charlie Frye,CLE,25,QB,13,13,252,393,64.1,2454,10,2.5,17,4.3,115,75,6.2,4.8,188.8,72.0,44,262,5.02,3.72,10.1
Joey Harrington,MIA,28,QB,11,11,223,388,57.5,2236,12,3.1,15,3.9,115,48,5.8,4.6,203.3,68.2,15,116,5.26,4.18,3.7
Michael Vick,ATL,26,QB,16,16,204,388,52.6,2474,20,5.2,13,3.4,122,55,6.4,5.9,154.6,75.7,45,303,5.01,4.59,10.4
Matt Leinart,ARI,23,QB,12,11,214,377,56.8,2547,11,2.9,12,3.2,125,58,6.8,5.9,212.3,74.0,21,158,6.00,5.20,5.3
Matt Hasselbeck,SEA,31,QB,12,12,210,371,56.6,2442,18,4.9,15,4.0,128,72,6.6,5.7,203.5,76.0,34,229,5.46,4.69,8.4
Vince Young*,TEN,23,QB,15,13,184,357,51.5,2199,12,3.4,13,3.6,107,53,6.2,5.2,146.6,66.7,25,129,5.42,4.52,6.5
Tony Romo *,DAL,26,QB,16,10,220,337,65.3,2903,19,5.6,13,3.9,144,56,8.6,8.0,181.4,95.1,21,124,7.76,7.19,5.9
Bruce Gradkowski,TAM,23,QB,13,11,177,328,54.0,1661,9,2.7,9,2.7,81,53,5.1,4.4,127.8,65.9,25,146,4.29,3.65,7.1
Jake Plummer,DEN,32,QB,16,11,175,317,55.2,1994,11,3.5,13,4.1,102,83,6.3,5.1,124.6,68.8,18,111,5.62,4.53,5.4
Donovan McNabb,PHI,30,QB,10,10,180,316,57.0,2647,18,5.7,6,1.9,112,87,8.4,8.7,264.7,95.5,21,140,7.44,7.71,6.2
Andrew Walter,OAK,24,QB,12,8,147,276,53.3,1677,3,1.1,13,4.7,79,51,6.1,4.2,139.8,55.8,46,256,4.41,2.78,14.3
Mark Brunell,WAS,36,QB,10,9,162,260,62.3,1789,8,3.1,4,1.5,80,74,6.9,6.8,178.9,86.5,12,92,6.24,6.17,4.4
David Garrard,JAX,28,QB,11,10,145,241,60.2,1735,10,4.1,9,3.7,83,49,7.2,6.3,157.7,80.5,20,119,6.19,5.41,7.7
Trent Green,KAN,36,QB,8,8,121,198,61.1,1342,7,3.5,9,4.5,76,39,6.8,5.4,167.8,74.1,24,127,5.47,4.28,10.8
Antwaan Randle El,WAS,27,WR,16,16,2,3,66.7,88,1,33.3,0,0.0,2,48,29.3,36.0,5.5,149.3,0,0,29.33,36.00,0.0
LaDainian Tomlinson*+,SDG,27,RB,16,16,2,3,66.7,20,2,66.7,0,0.0,2,19,6.7,20.0,1.3,125.0,0,0,6.67,20.00,0.0
Arnaz Battle,SFO,26,WR,16,15,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Ronnie Brown,MIA,25,RB,13,12,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Isaac Bruce,STL,34,WR,16,13,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Mark Clayton,BAL,24,WR,16,12,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Lee Evans,BUF,25,WR,16,15,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Joe Horn,NOR,34,WR,10,9,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Keyshawn Johnson,CAR,34,WR,16,16,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,0.0,0.0,0,0,0.00,-45.00,0.0
Larry Johnson*+,KAN,27,RB,16,16,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Thomas Jones,CHI,28,RB,16,16,1,1,100.0,-4,0,0.0,0,0.0,0,-4,-4.0,-4.0,-0.3,79.2,1,1,-2.50,-2.50,50.0
Cedrick Wilson,PIT,28,WR,15,12,1,1,100.0,21,0,0.0,0,0.0,1,21,21.0,21.0,1.4,118.7,0,0,21.00,21.00,0.0
